participant_id,trial_id,condition,score,length,experiment_start_time,text_start_time,text_end_time,question_start_time,question_end_time,questionnaire_start_time,questionnaire_end_time,text_start_offset,text_end_offset,question_start_offset,question_end_offset,questionnaire_start_offset,questionnaire_end_offset,reading_time_sec,answer_time_sec,questionnaire_time_sec,correct_answer,participant_answer,correct,understanding,confidence,screen_width,screen_height,reading_speed_char_per_sec,correct_percent,state
P001,0,hard,2.305439382,435,1785477451.6490774,1785477451.6518054,1785477485.152588,1785477485.1558723,1785477501.3688364,1785477501.3717573,1785477506.176725,0.003,33.504,33.507,49.72,49.723,54.528,33.501,16.213,4.805,A,A,1,5,5,1920,1080,12.984687024267933,100,appropriate_understanding
P001,1,medium,4.218095238,554,1785477451.6490774,1785477506.1812272,1785477540.0968926,1785477540.0998366,1785477558.288225,1785477558.2906632,1785477560.472317,54.532,88.448,88.451,106.639,106.642,108.823,33.916,18.188,2.182,C,C,1,4,4,1920,1080,16.334473404882655,100,appropriate_understanding
P001,2,easy,4.932555556,595,1785477451.6490774,1785477560.4785516,1785477588.9601085,1785477588.96157,1785477601.8805838,1785477601.884993,1785477604.888888,108.829,137.311,137.312,150.232,150.236,153.24,28.482,12.919,3.004,C,C,1,4,1,1920,1080,20.89038691103153,100,low_confidence_correct
P001,3,hard,2.278212373,581,1785477451.6490774,1785477604.8949575,1785477636.8010728,1785477636.8037672,1785477658.7771032,1785477658.7797246,1785477662.0645397,153.246,185.152,185.155,207.128,207.131,210.415,31.906,21.973,3.285,A,A,1,3,4,1920,1080,18.209741114523915,100,appropriate_understanding
P001,4,medium,3.461222222,502,1785477451.6490774,1785477662.0708232,1785477691.0170052,1785477691.019442,1785477711.872879,1785477711.877957,1785477716.19214,210.422,239.368,239.37,260.224,260.229,264.543,28.946,20.853,4.314,D,B,0,2,1,1920,1080,17.342638015615282,0,non_understanding
P001,5,easy,4.556765258,487,1785477451.6490774,1785477716.1964777,1785477752.416932,1785477752.4200685,1785477763.2729232,1785477763.2779148,1785477767.0251684,264.547,300.768,300.771,311.624,311.629,315.376,36.22,10.853,3.747,B,B,1,4,5,1920,1080,13.445610160132524,100,appropriate_understanding
