condition,num_trials,mean_reading_time_sec,std_reading_time_sec,mean_reading_speed,std_reading_speed
easy,2,32.351,5.471592272821504,17.16799853558203,5.264252124980641
hard,2,32.7035,1.1278353159925425,15.597214069395925,3.6946711792865115
medium,2,31.430999999999997,3.5143207024971366,16.83855571024897,0.7128800328013372
