participant_id,trial_id,condition,score,length,text_start_time,text_end_time,question_start_time,question_end_time,correct_answer,participant_answer,correct,response_time_sec,understanding,confidence
P001,1,easy,4.93,577,1781346995.9906971,1781347033.8755262,1781347033.8790524,1781347055.2673326,D,D,1,21.388,5,5
P001,2,medium,3.01,509,1781347058.864976,1781347104.2266743,1781347104.2299,1781347121.563404,C,C,1,17.333,5,5
P001,3,hard,1.35,488,1781347127.7752628,1781347182.9139714,1781347182.916834,1781347199.6422443,A,A,1,16.725,3,5
P001,4,hard,1.06,479,1781347205.0791395,1781347251.5454988,1781347251.5487506,1781347278.8571448,A,A,1,27.308,3,5
P001,5,medium,2.52,468,1781347282.8874574,1781347325.136993,1781347325.141539,1781347351.7038045,A,A,1,26.562,5,5
P001,6,easy,3.71,473,1781347355.5160553,1781347391.1594536,1781347391.1614249,1781347411.279968,C,C,1,20.119,4,5
