trial_id,phase,phase_start_time,phase_end_time,phase_duration_sec,gaze_samples,first_gaze_unix_time,last_gaze_unix_time,fixation_count,mean_fixation_duration_ms,mean_gaze_x,mean_gaze_y,both_valid_rate,behavior_duration_sec,participant_id,condition,score,length,experiment_start_time,reading_time_sec,answer_time_sec,questionnaire_time_sec,correct_answer,participant_answer,correct,understanding,confidence,screen_width,screen_height
000,text,1785477451.6518097,1785477485.1526122,33.501,2014,1785477451.654152,1785477485.1511128,119,238.28571428571428,951.51947395043,378.0966110268083,0.9662363455809335,33.501,P001,hard,2.305439382,435,1785477451.6490774,33.501,16.213,4.805,A,A,1,5,5,1920,1080
000,question,1785477485.1558757,1785477501.3688617,16.213,974,1785477485.168084,1785477501.359087,62,198.2741935483871,549.0251641137855,270.3424507658643,0.8819301848049281,16.213,P001,hard,2.305439382,435,1785477451.6490774,33.501,16.213,4.805,A,A,1,5,5,1920,1080
000,questionnaire,1785477501.3717604,1785477506.176751,4.805,289,1785477501.375244,1785477506.1677098,12,374.3333333333333,1149.0145454545454,326.11636363636364,0.9342560553633218,4.805,P001,hard,2.305439382,435,1785477451.6490774,33.501,16.213,4.805,A,A,1,5,5,1920,1080
001,text,1785477506.1812303,1785477540.0969172,33.916,2038,1785477506.1844199,1785477540.080602,133,213.98496240601503,910.8877245508982,428.8483033932136,0.9322865554465162,33.916,P001,medium,4.218095238,554,1785477451.6490774,33.916,18.188,2.182,C,C,1,4,4,1920,1080
001,question,1785477540.0998394,1785477558.2882514,18.188,1089,1785477540.113791,1785477558.272961,72,197.43055555555554,442.4627709707823,233.5702167766258,0.8980716253443526,18.188,P001,medium,4.218095238,554,1785477451.6490774,33.916,18.188,2.182,C,C,1,4,4,1920,1080
001,questionnaire,1785477558.2906666,1785477560.4723432,2.182,131,1785477558.306455,1785477560.469471,8,231.0,1083.016129032258,348.3467741935484,0.9465648854961832,2.182,P001,medium,4.218095238,554,1785477451.6490774,33.916,18.188,2.182,C,C,1,4,4,1920,1080
002,text,1785477560.4785538,1785477588.960124,28.482,1712,1785477560.48623,1785477588.958166,116,200.00862068965517,905.4716078900179,459.93305439330544,0.9608644859813084,28.482,P001,easy,4.932555556,595,1785477451.6490774,28.482,12.919,3.004,C,C,1,4,1,1920,1080
002,question,1785477588.9615722,1785477601.880599,12.919,776,1785477588.9742348,1785477601.870622,54,197.53703703703704,470.2013157894737,261.43815789473683,0.9716494845360825,12.919,P001,easy,4.932555556,595,1785477451.6490774,28.482,12.919,3.004,C,C,1,4,1,1920,1080
002,questionnaire,1785477601.884997,1785477604.8889089,3.004,181,1785477601.887611,1785477604.882638,11,245.0,916.7624309392265,353.3425414364641,1.0,3.004,P001,easy,4.932555556,595,1785477451.6490774,28.482,12.919,3.004,C,C,1,4,1,1920,1080
003,text,1785477604.8949602,1785477636.8010988,31.906,1918,1785477604.8989558,1785477636.798311,130,202.73846153846154,932.7771911298838,500.2983104540655,0.9770594369134515,31.906,P001,hard,2.278212373,581,1785477451.6490774,31.906,21.973,3.285,A,A,1,3,4,1920,1080
003,question,1785477636.8037703,1785477658.7771266,21.973,1320,1785477636.81508,1785477658.7634418,88,199.63636363636363,498.8600311041991,327.58398133748057,0.9492424242424242,21.973,P001,hard,2.278212373,581,1785477451.6490774,31.906,21.973,3.285,A,A,1,3,4,1920,1080
003,questionnaire,1785477658.7797277,1785477662.0645585,3.285,198,1785477658.7802558,1785477662.0582528,11,261.72727272727275,1025.5333333333333,270.79487179487177,0.9545454545454546,3.285,P001,hard,2.278212373,581,1785477451.6490774,31.906,21.973,3.285,A,A,1,3,4,1920,1080
004,text,1785477662.0708256,1785477691.0170312,28.946,1740,1785477662.075012,1785477691.0123148,114,215.78947368421052,928.0163551401869,434.76460280373834,0.9718390804597701,28.946,P001,medium,3.461222222,502,1785477451.6490774,28.946,20.853,4.314,D,B,0,2,1,1920,1080
004,question,1785477691.0194445,1785477711.8729095,20.853,1250,1785477691.029043,1785477711.867317,81,203.8395061728395,532.3567880794702,234.7814569536424,0.9344,20.853,P001,medium,3.461222222,502,1785477451.6490774,28.946,20.853,4.314,D,B,0,2,1,1920,1080
004,questionnaire,1785477711.8779633,1785477716.1921542,4.314,259,1785477711.884049,1785477716.177269,16,244.4375,834.9402390438247,356.0159362549801,0.9652509652509652,4.314,P001,medium,3.461222222,502,1785477451.6490774,28.946,20.853,4.314,D,B,0,2,1,1920,1080
005,text,1785477716.19648,1785477752.416957,36.22,2176,1785477716.210461,1785477752.403035,143,212.74125874125875,918.9486221391873,424.1078935077067,0.9719669117647058,36.22,P001,easy,4.556765258,487,1785477451.6490774,36.22,10.853,3.747,B,B,1,4,5,1920,1080
005,question,1785477752.420071,1785477763.2729454,10.853,652,1785477752.4363608,1785477763.269435,43,211.34883720930233,516.3790951638066,290.39313572542903,0.9754601226993865,10.853,P001,easy,4.556765258,487,1785477451.6490774,36.22,10.853,3.747,B,B,1,4,5,1920,1080
005,questionnaire,1785477763.2779205,1785477767.0251918,3.747,225,1785477763.285652,1785477767.013268,13,297.0,1077.9770642201836,343.5963302752294,0.9644444444444444,3.747,P001,easy,4.556765258,487,1785477451.6490774,36.22,10.853,3.747,B,B,1,4,5,1920,1080
